datetime,open,high,low,close,volume,high_5_sma,high_5_mstd,vwma_5,boll,boll_ub,boll_lb,action
2022-11-24 04:00:00,16702.8,16728.6,16605.0,16613.8,49644.644,16728.6,,16649.13333333333,16613.8,,,0
2022-11-24 08:00:00,16613.8,16631.1,16481.6,16567.1,65330.769,16679.85,68.94291116568839,16598.448543927097,16590.449999999997,16656.493773362818,16524.406226637177,0
2022-11-24 12:00:00,16567.1,16598.0,16450.0,16549.0,57970.098,16652.566666666666,67.89479606960502,16576.287198337668,16576.63333333333,16643.504054380235,16509.762612286428,0
2022-11-24 16:00:00,16548.9,16669.6,16506.7,16569.0,67214.977,16656.824999999997,56.086265401313895,16577.820765914803,16574.725,16629.855723436813,16519.594276563184,0
2022-11-24 20:00:00,16568.9,16628.0,16527.2,16592.4,28238.223,16651.059999999998,50.25363668432297,16578.31657503837,16578.260000000002,16628.55385648367,16527.966143516333,0
2022-11-25 00:00:00,16592.5,16610.0,16460.1,16480.3,42900.709,16627.339999999997,27.21209290002913,16554.79406368476,16561.933333333334,16653.699441819346,16470.167224847322,0
2022-11-25 04:00:00,16480.2,16493.4,16331.7,16453.8,67404.034,16599.8,65.37491873799479,16520.68024460989,16546.485714285714,16663.528978569848,16429.44245000158,0
2022-11-25 08:00:00,16453.7,16583.9,16400.0,16523.5,58204.124,16596.98,65.77485841869503,16514.104920874484,16543.6125,16653.18566863956,16434.03933136044,0
2022-11-25 12:00:00,16523.5,16577.9,16432.0,16505.4,63964.805,16578.64,51.75406264245629,16494.451499633473,16539.366666666665,16644.981391018904,16433.751942314426,0
2022-11-25 16:00:00,16505.3,16545.6,16451.0,16516.0,34984.583,16562.160000000003,44.7526870701557,16486.426967946958,16537.03,16637.695211910013,16436.364788089984,0
2022-11-25 20:00:00,16515.9,16639.9,16471.6,16516.1,39101.861,16568.140000000003,53.82204938498112,16489.805715935254,16535.127272727274,16631.45708497287,16438.797460481677,0
2022-11-26 00:00:00,16516.2,16699.1,16505.2,16615.0,51126.185,16609.28,60.59952145025157,16531.212466956276,16541.783333333333,16644.55686488635,16439.009801780318,1
2022-11-26 04:00:00,16614.9,16644.3,16522.6,16576.9,37107.204,16621.36,60.294759307915946,16546.81447845582,16544.484615384616,16644.79233679408,16444.176893975153,0
2022-11-26 08:00:00,16576.9,16631.5,16549.7,16572.8,32673.18,16632.079999999998,55.18443621166714,16566.84088749905,16546.507142857143,16644.060929655407,16448.95335605888,0
2022-11-26 12:00:00,16572.7,16680.0,16471.5,16506.4,60167.627,16658.96,29.09532608512275,16572.91162255758,16543.833333333332,16640.093031669705,16447.57363499696,0
2022-11-26 16:00:00,16506.4,16526.0,16413.7,16480.7,34854.19,16636.18,67.28036117619779,16562.3607830561,16539.8875,16638.094706117132,16441.68029388287,0
2022-11-26 20:00:00,16480.6,16539.9,16369.1,16449.2,37473.273,16604.34,67.72845044735375,16530.911786374225,16534.552941176473,16639.324003919173,16429.781878433772,0
2022-11-27 00:00:00,16449.2,16576.1,16441.0,16520.0,29565.552,16590.7,64.45738902561637,16518.500868272557,16533.744444444445,16635.61855873948,16431.87033014941,0
2022-11-27 04:00:00,16520.1,16594.2,16519.4,16553.9,27615.709,16583.24,60.597796989656274,16512.53868825675,16534.805263157894,16634.240098852973,16435.370427462814,0
2022-11-27 08:00:00,16553.9,16589.0,16505.5,16544.4,31288.273,16565.04,30.42553204135426,16504.105281313183,16535.285,16632.162834627456,16438.407165372544,0
2022-11-27 12:00:00,16544.3,16578.4,16510.2,16566.2,27072.493,16575.52,21.26069142806883,16519.48730216608,16532.905000000002,16623.8162806387,16441.993719361304,0
2022-11-27 16:00:00,16566.3,16573.5,16513.0,16546.9,21824.618,16582.239999999998,8.910274967679056,16541.666301922618,16531.894999999997,16621.64816971385,16442.141830286142,0
2022-11-27 20:00:00,16546.9,16588.0,16396.0,16422.6,52003.7,16584.620000000003,8.43694257415879,16523.396571413225,16525.575,16627.26412119013,16423.885878809873,0
2022-11-28 00:00:00,16422.5,16475.0,16040.0,16168.9,147621.712,16560.78,48.39361528135277,16364.33325745599,16505.57,16692.762859737868,16318.37714026213,-1
2022-11-28 04:00:00,16169.0,16239.1,16131.5,16215.1,41682.953,16490.8,147.9555845515787,16320.426403999005,16486.705,16709.680641577375,16263.729358422626,-1
2022-11-28 08:00:00,16215.1,16262.7,16170.0,16205.0,41043.245,16427.66,167.3215258118305,16285.29756025357,16472.940000000002,16729.10126828313,16216.778731716873,-1
2022-11-28 12:00:00,16205.0,16300.0,16101.6,16136.7,87235.407,16372.960000000001,151.70142715215013,16245.005626332651,16457.085,16754.212194277043,16159.957805722957,-1
2022-11-28 16:00:00,16136.7,16390.4,15984.1,16215.1,154227.497,16333.440000000002,97.859710810932,16204.486498243412,16441.665,16755.802738981856,16127.527261018147,-1
2022-11-28 20:00:00,16215.2,16266.9,16181.1,16204.5,25327.055,16291.820000000002,59.2311320168653,16195.512409569285,16426.620000000003,16756.340778841735,16096.89922115827,0
2022-11-29 00:00:00,16204.6,16299.9,16088.0,16279.1,52867.266,16303.980000000001,51.429242654342985,16199.475757974753,16414.775,16747.978682768553,16081.571317231452,0
2022-11-29 04:00:00,16279.1,16535.0,16272.1,16455.9,94383.908,16358.439999999999,108.87677897512951,16248.676256869065,16411.765,16742.190755814012,16081.339244185987,1
2022-11-29 08:00:00,16456.0,16543.0,16422.4,16488.0,58215.199,16407.04,128.6992346519555,16300.016376227948,16405.415,16724.067249160013,16086.762750839987,1
2022-11-29 12:00:00,16488.0,16502.8,16312.6,16384.8,95079.754,16429.519999999997,134.7407770498562,16378.183863143528,16395.81,16704.11067961753,16087.509320382474,1
2022-11-29 16:00:00,16384.9,16471.5,16335.1,16418.2,53114.858,16470.44,99.45492949069458,16394.209076885498,16388.08,16685.247332624138,16090.912667375866,1
2022-11-29 20:00:00,16418.1,16521.9,16415.8,16433.2,37749.869,16514.840000000004,28.60319912176272,16428.047234961363,16384.420000000002,16677.222535220542,16091.617464779461,1
2022-11-30 00:00:00,16433.3,17082.2,16421.5,16836.7,191179.202,16624.280000000002,257.33147300709356,16584.19383180565,16402.22,16756.49727826483,16047.942721735173,1
2022-11-30 04:00:00,16836.8,16916.3,16811.9,16874.1,51969.614,16698.940000000002,280.9255292777808,16632.02838077605,16423.465,16835.806316336228,16011.123683663773,1
2022-11-30 08:00:00,16874.1,16926.2,16830.0,16871.4,37015.75,16783.620000000003,270.64705245023856,16715.79729156632,16441.035,16898.20550268616,15983.86449731384,1
2022-11-30 12:00:00,16871.3,16888.5,16750.8,16856.8,83414.941,16867.02,207.2452822141029,16780.657402973327,16456.18,16947.85976998299,15964.500230017009,1
2022-11-30 16:00:00,16856.8,17138.7,16700.0,17051.5,169808.829,16990.38,112.26774692673092,16861.743895463867,16481.535,17040.1184236333,15922.9515763667,1
2022-11-30 20:00:00,17051.5,17248.3,17018.0,17153.3,86936.614,17023.6,160.46040009922945,16954.44269146256,16510.89,17144.8315676211,15876.948432378898,1
2022-12-01 00:00:00,17153.4,17222.1,17080.0,17143.8,57460.869,17084.760000000002,167.46372144439314,16990.519246568765,16540.735,17235.134088269475,15846.335911730524,1
2022-12-01 04:00:00,17143.8,17161.1,17054.0,17062.6,38761.809,17131.739999999998,143.02736801048226,17009.308916827067,16572.734999999997,17302.30735426328,15843.162645736713,1
